0, 1713959465435644, 1713959465435700, 56
1, 1713959465460214, 1713959465465498, 5284
2, 1713959465474875, 1713959465477329, 2454
3, 1713959465489593, 1713959465490676, 1083
4, 1713959465501601, 1713959465505054, 3453
5, 1713959465513542, 1713959465519576, 6034
6, 1713959465525484, 1713959465534126, 8642
7, 1713959465537424, 1713959465549669, 12245
8, 1713959465549722, 1713959465566167, 16445
9, 1713959465565192, 1713959465580603, 15411
10, 1713959465580686, 1713959465594370, 13684
11, 1713959465595299, 1713959465609035, 13736
12, 1713959465609163, 1713959465623946, 14783
13, 1713959465625999, 1713959465640725, 14726
14, 1713959465640289, 1713959465654975, 14686
15, 1713959465654650, 1713959465670082, 15432
16, 1713959465669189, 1713959465684031, 14842
17, 1713959465683781, 1713959465700683, 16902
18, 1713959465698364, 1713959465715317, 16953
19, 1713959465710303, 1713959465729603, 19300
20, 1713959465722284, 1713959465744439, 22155
21, 1713959465734222, 1713959465758681, 24459
22, 1713959465746153, 1713959465774055, 27902
23, 1713959465759461, 1713959465788900, 29439
24, 1713959465773476, 1713959465804522, 31046
25, 1713959465788862, 1713959465819415, 30553
26, 1713959465804183, 1713959465834376, 30193
27, 1713959465818926, 1713959465850372, 31446
28, 1713959465834240, 1713959465864130, 29890
29, 1713959465848809, 1713959465879060, 30251
30, 1713959465860787, 1713959465893885, 33098
31, 1713959465872758, 1713959465909711, 36953
32, 1713959465884705, 1713959465923505, 38800
33, 1713959465896650, 1713959465938364, 41714
34, 1713959465909840, 1713959465952034, 42194
35, 1713959465922979, 1713959465966903, 43924
36, 1713959465937569, 1713959465980295, 42726
37, 1713959465951952, 1713959465996213, 44261
38, 1713959465966296, 1713959466010388, 44092
39, 1713959465980131, 1713959466025215, 45084
40, 1713959465993969, 1713959466039897, 45928
41, 1713959466005977, 1713959466054881, 48904
42, 1713959466017918, 1713959466071142, 53224
43, 1713959466029856, 1713959466085559, 55703
44, 1713959466041827, 1713959466099581, 57754
45, 1713959466055056, 1713959466114146, 59090
46, 1713959466070436, 1713959466128292, 57856
47, 1713959466085154, 1713959466142239, 57085
48, 1713959466098097, 1713959466158600, 60503
49, 1713959466110103, 1713959466173328, 63225
50, 1713959466122078, 1713959466188694, 66616
51, 1713959466134023, 1713959466203628, 69605
52, 1713959466145977, 1713959466218396, 72419
53, 1713959466158431, 1713959466233568, 75137
54, 1713959466172986, 1713959466249377, 76391
55, 1713959466188201, 1713959466263880, 75679
56, 1713959466203036, 1713959466278574, 75538
57, 1713959466218100, 1713959466293897, 75797
58, 1713959466233196, 1713959466308499, 75303
59, 1713959466248531, 1713959466322800, 74269
60, 1713959466263320, 1713959466337315, 73995
61, 1713959466278334, 1713959466352839, 74505
62, 1713959466293554, 1713959466367265, 73711
63, 1713959466306495, 1713959466381971, 75476
64, 1713959466318460, 1713959466397141, 78681
65, 1713959466330395, 1713959466412817, 82422
66, 1713959466342361, 1713959466428400, 86039
67, 1713959466354301, 1713959466443124, 88823
68, 1713959466367629, 1713959466458592, 90963
69, 1713959466381615, 1713959466472184, 90569
70, 1713959466396836, 1713959466487002, 90166
71, 1713959466412287, 1713959466500204, 87917
72, 1713959466427902, 1713959466514724, 86822
73, 1713959466442419, 1713959466529728, 87309
74, 1713959466457638, 1713959466543486, 85848
75, 1713959466472193, 1713959466556589, 84396
76, 1713959466486667, 1713959466569892, 83225
77, 1713959466500433, 1713959466584112, 83679
78, 1713959466514980, 1713959466598485, 83505
79, 1713959466529437, 1713959466614622, 85185
80, 1713959466543112, 1713959466628485, 85373
81, 1713959466556784, 1713959466643722, 86938
82, 1713959466570347, 1713959466658022, 87675
83, 1713959466583671, 1713959466673905, 90234
84, 1713959466598290, 1713959466690088, 91798
85, 1713959466612799, 1713959466704200, 91401
86, 1713959466627515, 1713959466721554, 94039
87, 1713959466642733, 1713959466733218, 90485
88, 1713959466658006, 1713959466745594, 87588
89, 1713959466672530, 1713959466759257, 86727
90, 1713959466687091, 1713959466783851, 96760
91, 1713959466702624, 1713959466798228, 95604
92, 1713959466717206, 1713959466810567, 93361
93, 1713959466729236, 1713959466823141, 93905
94, 1713959466741181, 1713959466836129, 94948
95, 1713959466753148, 1713959466847810, 94662
96, 1713959466765118, 1713959466860024, 94906
97, 1713959466784115, 1713959466872959, 88844
98, 1713959466799484, 1713959466887394, 87910
99, 1713959466813631, 1713959466902226, 88595
100, 1713959466828123, 1713959466917029, 88906
101, 1713959466841890, 1713959466931831, 89941
102, 1713959466856083, 1713959466946507, 90424
103, 1713959466870742, 1713959466962118, 91376
104, 1713959466882699, 1713959466976153, 93454
105, 1713959466894657, 1713959466992422, 97765
106, 1713959466906613, 1713959467007049, 100436
107, 1713959466918597, 1713959467022396, 103799
108, 1713959466931857, 1713959467037241, 105384
109, 1713959466946344, 1713959467052794, 106450
110, 1713959466961099, 1713959467067062, 105963
111, 1713959466975906, 1713959467083205, 107299
112, 1713959466991416, 1713959467098386, 106970
113, 1713959467006930, 1713959467113188, 106258
114, 1713959467022212, 1713959467129167, 106955
115, 1713959467037469, 1713959467144818, 107349
116, 1713959467052509, 1713959467159003, 106494
117, 1713959467067287, 1713959467174671, 107384
118, 1713959467082649, 1713959467189175, 106526
119, 1713959467097869, 1713959467205066, 107197
120, 1713959467113179, 1713959467219989, 106810
121, 1713959467128564, 1713959467234627, 106063
122, 1713959467144046, 1713959467248770, 104724
123, 1713959467159555, 1713959467263020, 103465
124, 1713959467174644, 1713959467276879, 102235
125, 1713959467189496, 1713959467291029, 101533
126, 1713959467204867, 1713959467305098, 100231
