0, 1713959465435644, 1713959465435644
1, 1713959465460214, 24570
2, 1713959465474875, 14661
3, 1713959465489593, 14718
4, 1713959465501601, 12008
5, 1713959465513542, 11941
6, 1713959465525484, 11942
7, 1713959465537424, 11940
8, 1713959465549722, 12298
9, 1713959465565192, 15470
10, 1713959465580686, 15494
11, 1713959465595299, 14613
12, 1713959465609163, 13864
13, 1713959465625999, 16836
14, 1713959465640289, 14290
15, 1713959465654650, 14361
16, 1713959465669189, 14539
17, 1713959465683781, 14592
18, 1713959465698364, 14583
19, 1713959465710303, 11939
20, 1713959465722284, 11981
21, 1713959465734222, 11938
22, 1713959465746153, 11931
23, 1713959465759461, 13308
24, 1713959465773476, 14015
25, 1713959465788862, 15386
26, 1713959465804183, 15321
27, 1713959465818926, 14743
28, 1713959465834240, 15314
29, 1713959465848809, 14569
30, 1713959465860787, 11978
31, 1713959465872758, 11971
32, 1713959465884705, 11947
33, 1713959465896650, 11945
34, 1713959465909840, 13190
35, 1713959465922979, 13139
36, 1713959465937569, 14590
37, 1713959465951952, 14383
38, 1713959465966296, 14344
39, 1713959465980131, 13835
40, 1713959465993969, 13838
41, 1713959466005977, 12008
42, 1713959466017918, 11941
43, 1713959466029856, 11938
44, 1713959466041827, 11971
45, 1713959466055056, 13229
46, 1713959466070436, 15380
47, 1713959466085154, 14718
48, 1713959466098097, 12943
49, 1713959466110103, 12006
50, 1713959466122078, 11975
51, 1713959466134023, 11945
52, 1713959466145977, 11954
53, 1713959466158431, 12454
54, 1713959466172986, 14555
55, 1713959466188201, 15215
56, 1713959466203036, 14835
57, 1713959466218100, 15064
58, 1713959466233196, 15096
59, 1713959466248531, 15335
60, 1713959466263320, 14789
61, 1713959466278334, 15014
62, 1713959466293554, 15220
63, 1713959466306495, 12941
64, 1713959466318460, 11965
65, 1713959466330395, 11935
66, 1713959466342361, 11966
67, 1713959466354301, 11940
68, 1713959466367629, 13328
69, 1713959466381615, 13986
70, 1713959466396836, 15221
