0, 1713958625405754, 1713958625405891, 137
1, 1713958625428007, 1713958625430673, 2666
2, 1713958625440323, 1713958625449941, 9618
3, 1713958625456100, 1713958625461374, 5274
4, 1713958625473617, 1713958625481845, 8228
5, 1713958625488050, 1713958625496458, 8408
6, 1713958625505681, 1713958625516527, 10846
7, 1713958625517980, 1713958625525522, 7542
8, 1713958625543146, 1713958625550892, 7746
9, 1713958625561209, 1713958625566891, 5682
10, 1713958625573412, 1713958625580752, 7340
11, 1713958625588095, 1713958625596945, 8850
12, 1713958625605750, 1713958625613642, 7892
13, 1713958625618028, 1713958625637195, 19167
14, 1713958625640218, 1713958625645527, 5309
15, 1713958625652372, 1713958625660744, 8372
16, 1713958625664556, 1713958625680546, 15990
17, 1713958625685411, 1713958625694947, 9536
18, 1713958625700049, 1713958625721962, 21913
19, 1713958625721058, 1713958625732287, 11229
20, 1713958625741979, 1713958625756441, 14462
21, 1713958625756950, 1713958625772445, 15495
22, 1713958625772995, 1713958625795274, 22279
23, 1713958625793981, 1713958625805180, 11199
24, 1713958625806291, 1713958625824076, 17785
25, 1713958625826543, 1713958625832676, 6133
26, 1713958625838914, 1713958625859766, 20852
27, 1713958625860051, 1713958625872424, 12373
28, 1713958625884602, 1713958625896683, 12081
29, 1713958625898827, 1713958625911205, 12378
30, 1713958625916163, 1713958625924190, 8027
31, 1713958625936447, 1713958625940073, 3626
32, 1713958625950850, 1713958625955092, 4242
33, 1713958625963155, 1713958625968861, 5706
34, 1713958625976112, 1713958625981450, 5338
35, 1713958626001394, 1713958626001537, 143
36, 1713958626015634, 1713958626017835, 2201
37, 1713958626027890, 1713958626028584, 694
38, 1713958626055722, 1713958626055784, 62
39, 1713958626070848, 1713958626073558, 2710
40, 1713958626083043, 1713958626089675, 6632
41, 1713958626095244, 1713958626104861, 9617
42, 1713958626107473, 1713958626117197, 9724
43, 1713958626129460, 1713958626141664, 12204
44, 1713958626144096, 1713958626153197, 9101
45, 1713958626165346, 1713958626170775, 5429
46, 1713958626180048, 1713958626188926, 8878
47, 1713958626201325, 1713958626205242, 3917
48, 1713958626213618, 1713958626221939, 8321
49, 1713958626225940, 1713958626239745, 13805
50, 1713958626251053, 1713958626259186, 8133
51, 1713958626263293, 1713958626276909, 13616
52, 1713958626277631, 1713958626289206, 11575
53, 1713958626296055, 1713958626308431, 12376
54, 1713958626312055, 1713958626324024, 11969
55, 1713958626328049, 1713958626339398, 11349
56, 1713958626350680, 1713958626354430, 3750
57, 1713958626369646, 1713958626371514, 1868
58, 1713958626381827, 1713958626390823, 8996
59, 1713958626401390, 1713958626406517, 5127
60, 1713958626413610, 1713958626420922, 7312
61, 1713958626433208, 1713958626434786, 1578
62, 1713958626453256, 1713958626456212, 2956
63, 1713958626465429, 1713958626472332, 6903
64, 1713958626480049, 1713958626485364, 5315
65, 1713958626497592, 1713958626504240, 6648
66, 1713958626512049, 1713958626519210, 7161
67, 1713958626529661, 1713958626535450, 5789
68, 1713958626544049, 1713958626549336, 5287
69, 1713958626561476, 1713958626570766, 9290
70, 1713958626576095, 1713958626581430, 5335
71, 1713958626597059, 1713958626602806, 5747
72, 1713958626609321, 1713958626616464, 7143
73, 1713958626624086, 1713958626636518, 12432
74, 1713958626639804, 1713958626653350, 13546
75, 1713958626656062, 1713958626682191, 26129
76, 1713958626688071, 1713958626698213, 10142
77, 1713958626702398, 1713958626717818, 15420
78, 1713958626716873, 1713958626737499, 20626
79, 1713958626741981, 1713958626754983, 13002
80, 1713958626756208, 1713958626770986, 14778
81, 1713958626769357, 1713958626783585, 14228
82, 1713958626781594, 1713958626793192, 11598
83, 1713958626796667, 1713958626804326, 7659
84, 1713958626821986, 1713958626825984, 3998
85, 1713958626838982, 1713958626842301, 3319
86, 1713958626851081, 1713958626856063, 4982
87, 1713958626863229, 1713958626876063, 12834
88, 1713958626875389, 1713958626889648, 14259
89, 1713958626892054, 1713958626908281, 16227
90, 1713958626904331, 1713958626926412, 22081
